date_start                       ,driver_number ,duration_sector_1 ,duration_sector_2 ,duration_sector_3 ,i1_speed ,i2_speed ,is_pit_out_lap ,lap_duration ,lap_number ,meeting_key ,segments_sector_1                      ,segments_sector_2                      ,segments_sector_3                            ,session_key ,st_speed
2024-06-09 18:06:46.148000+00:00 ,           18 ,           30.71  ,           31.78  ,           38.198 ,     185 ,     252 ,False          ,     100.688 ,         3 ,       1237 ,"[None, 2049, 2049, 2048, 2048, 2049]" ,"[2048, 2048, 2049, 2049, 2049, 2049]" ,"[2048, 2049, 2049, 2049, 2048, 2049, 2049]" ,       9531 ,     297
2024-06-09 18:06:40.619000+00:00 ,           20 ,           27.936 ,           31.214 ,           36.984 ,     198 ,     268 ,False          ,      96.134 ,         3 ,       1237 ,"[None, 2049, 2051, 2049, 2051, 2048]" ,"[2048, 2048, 2048, 2049, 2048, 2051]" ,"[2049, 2049, 2051, 2049, 2048, 2048, 2048]" ,       9531 ,     295
2024-06-09 18:06:49.691000+00:00 ,           22 ,           29.978 ,           32.236 ,           37.721 ,     186 ,     264 ,False          ,      99.935 ,         3 ,       1237 ,"[None, 2049, 2048, 2049, 2049, 2048]" ,"[2049, 2048, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2048, 2048]" ,       9531 ,     286
2024-06-09 18:06:50.748000+00:00 ,           23 ,           29.853 ,           32.228 ,           37.866 ,     193 ,     250 ,False          ,      99.947 ,         3 ,       1237 ,"[None, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2048, 2049, 2049, 2048, 2049, 2048, 2048]" ,       9531 ,     304
2024-06-09 18:06:59.213000+00:00 ,           24 ,           30.267 ,           32.578 ,           38.565 ,     185 ,     265 ,False          ,     101.41  ,         3 ,       1237 ,"[None, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2048, 2048, 2049, 2049, 2049, 2049, 2048]" ,       9531 ,     284
2024-06-09 18:06:46.782000+00:00 ,           27 ,           28.886 ,           31.32  ,           36.445 ,     197 ,     263 ,False          ,      96.651 ,         3 ,       1237 ,"[None, 2048, 2049, 2049, 2049, 2049]" ,"[2048, 2049, 2049, 2048, 2051, 2049]" ,"[2048, 2048, 2049, 2049, 2048, 2049, 2049]" ,       9531 ,     293
2024-06-09 18:06:53.918000+00:00 ,           31 ,           30.069 ,           32.188 ,           37.902 ,     183 ,     265 ,False          ,     100.159 ,         3 ,       1237 ,"[None, 2049, 2049, 2049, 2048, 2048]" ,"[2049, 2049, 2049, 2049, 2048, 2048]" ,"[2049, 2048, 2048, 2049, 2049, 2048, 2048]" ,       9531 ,     298
2024-06-09 18:06:42.506000+00:00 ,           44 ,           29.402 ,           31.647 ,           37.665 ,     180 ,     268 ,False          ,      98.714 ,         3 ,       1237 ,"[2048, 2048, 2049, 2049, 2049, 2049]" ,"[2048, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2048, 2049, 2049, 2049, 2051, 2051]" ,       9531 ,     298
2024-06-09 18:06:52.366000+00:00 ,           55 ,           29.905 ,           32.129 ,           38.443 ,         ,     252 ,False          ,     100.477 ,         3 ,       1237 ,"[None, 2049, 2049, 2048, 2049, 2048]" ,"[2049, 2048, 2048, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2048, 2049, 2049, 2049]" ,       9531 ,     300
2024-06-09 18:06:32.229000+00:00 ,           63 ,           28.246 ,           31.353 ,           36.797 ,     206 ,     265 ,False          ,      96.396 ,         3 ,       1237 ,"[2049, 2051, 2048, 2048, 2048, 2049]" ,"[2048, 2048, 2048, 2048, 2049, 2049]" ,"[2048, 2051, 2049, 2049, 2048, 2049, 2051]" ,       9531 ,     293
2024-06-09 18:06:56.827000+00:00 ,           77 ,           30.493 ,           32.185 ,           38.077 ,     188 ,     265 ,False          ,     100.755 ,         3 ,       1237 ,"[None, 2049, 2048, 2049, 2049, 2049]" ,"[2048, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2048, 2048, 2049, 2049]" ,       9531 ,     296
2024-06-09 18:06:39.079000+00:00 ,           81 ,           29.226 ,           31.118 ,           38.072 ,     192 ,     265 ,False          ,      98.416 ,         3 ,       1237 ,"[None, 2049, 2048, 2048, 2048, 2048]" ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2048, 2049, 2049, 2049, 2049, 2049, 2049]" ,       9531 ,     276
2024-06-09 18:08:11.193000+00:00 ,            1 ,           28.103 ,           30.649 ,           36.353 ,     198 ,     266 ,False          ,      95.105 ,         4 ,       1237 ,"[2049, 2048, 2048, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2048, 2049, 2049, 2049, 2051, 2048]" ,       9531 ,     298
