date,driver_number,meeting_key,position,session_key
2024-06-09 18:34:49.288000+00:00,27,1237,18,9531
2024-06-09 18:34:59.405000+00:00,4,1237,1,9531
2024-06-09 18:34:59.405000+00:00,63,1237,2,9531
2024-06-09 18:35:01.169000+00:00,1,1237,2,9531
2024-06-09 18:35:01.169000+00:00,63,1237,3,9531
2024-06-09 18:35:54.647000+00:00,16,1237,11,9531
2024-06-09 18:35:54.647000+00:00,22,1237,10,9531
2024-06-09 18:36:03.775000+00:00,10,1237,15,9531
2024-06-09 18:36:03.775000+00:00,11,1237,16,9531
2024-06-09 18:41:36.376000+00:00,14,1237,6,9531
2024-06-09 18:41:36.376000+00:00,44,1237,5,9531
2024-06-09 18:42:05.761000+00:00,18,1237,9,9531
2024-06-09 18:42:05.761000+00:00,22,1237,8,9531
2024-06-09 18:42:05.761000+00:00,23,1237,10,9531
2024-06-09 18:42:13.520000+00:00,16,1237,12,9531
2024-06-09 18:42:13.520000+00:00,20,1237,14,9531
2024-06-09 18:42:13.520000+00:00,23,1237,11,9531
2024-06-09 18:42:13.520000+00:00,31,1237,10,9531
2024-06-09 18:42:13.520000+00:00,55,1237,13,9531
2024-06-09 18:42:26.464000+00:00,10,1237,16,9531
2024-06-09 18:42:26.464000+00:00,11,1237,17,9531
2024-06-09 18:42:26.464000+00:00,20,1237,15,9531
2024-06-09 18:42:26.464000+00:00,55,1237,14,9531
2024-06-09 18:42:26.464000+00:00,77,1237,13,9531
2024-06-09 18:43:05.186000+00:00,1,1237,1,9531
2024-06-09 18:43:05.186000+00:00,4,1237,2,9531
2024-06-09 18:43:57.802000+00:00,3,1237,8,9531
2024-06-09 18:43:57.802000+00:00,22,1237,7,9531
2024-06-09 18:44:03.299000+00:00,3,1237,9,9531
2024-06-09 18:44:03.299000+00:00,18,1237,8,9531
2024-06-09 18:44:05.556000+00:00,3,1237,10,9531
2024-06-09 18:44:05.556000+00:00,31,1237,9,9531
2024-06-09 18:45:16.277000+00:00,4,1237,3,9531
2024-06-09 18:45:16.277000+00:00,63,1237,2,9531
2024-06-09 18:47:42.959000+00:00,16,1237,13,9531
2024-06-09 18:47:42.959000+00:00,77,1237,12,9531
2024-06-09 18:47:46.080000+00:00,16,1237,14,9531
2024-06-09 18:47:46.080000+00:00,55,1237,13,9531
2024-06-09 18:47:47.583000+00:00,16,1237,15,9531
2024-06-09 18:47:47.583000+00:00,20,1237,14,9531
2024-06-09 18:47:48.910000+00:00,10,1237,15,9531
