date                             ,driver_number ,gap_to_leader ,interval ,meeting_key ,session_key
2024-06-09 18:04:03.747000+00:00 ,           18 ,6.113         ,0.892    ,       1237 ,       9531
2024-06-09 18:04:04.174000+00:00 ,           77 ,11.901        ,0.836    ,       1237 ,       9531
2024-06-09 18:04:04.304000+00:00 ,           16 ,6.58          ,0.467    ,       1237 ,       9531
2024-06-09 18:04:04.655000+00:00 ,           22 ,7.004         ,0.424    ,       1237 ,       9531
2024-06-09 18:04:04.904000+00:00 ,            1 ,0.975         ,0.975    ,       1237 ,       9531
2024-06-09 18:04:05.183000+00:00 ,           20 ,7.495         ,         ,       1237 ,       9531
2024-06-09 18:04:05.440000+00:00 ,           23 ,7.757         ,0.262    ,       1237 ,       9531
2024-06-09 18:04:05.721000+00:00 ,           55 ,8.041         ,0.284    ,       1237 ,       9531
2024-06-09 18:04:05.771000+00:00 ,           24 ,13.534        ,1.633    ,       1237 ,       9531
2024-06-09 18:04:06.067000+00:00 ,            4 ,2.111         ,1.136    ,       1237 ,       9531
2024-06-09 18:04:06.634000+00:00 ,            2 ,8.979         ,0.938    ,       1237 ,       9531
2024-06-09 18:04:06.894000+00:00 ,           27 ,9.171         ,0.192    ,       1237 ,       9531
2024-06-09 18:04:07.363000+00:00 ,           31 ,9.64          ,0.469    ,       1237 ,       9531
2024-06-09 18:04:07.508000+00:00 ,           81 ,3.562         ,1.451    ,       1237 ,       9531
2024-06-09 18:04:08.100000+00:00 ,           10 ,10.41         ,0.77     ,       1237 ,       9531
2024-06-09 18:04:08.355000+00:00 ,           14 ,4.287         ,0.725    ,       1237 ,       9531
2024-06-09 18:04:08.704000+00:00 ,           11 ,10.942        ,0.532    ,       1237 ,       9531
2024-06-09 18:04:08.833000+00:00 ,           44 ,4.917         ,0.63     ,       1237 ,       9531
2024-06-09 18:04:09.440000+00:00 ,            3 ,5.532         ,0.615    ,       1237 ,       9531
2024-06-09 18:04:09.719000+00:00 ,           77 ,11.99         ,1.048    ,       1237 ,       9531
2024-06-09 18:04:10.462000+00:00 ,           18 ,6.519         ,0.987    ,       1237 ,       9531
2024-06-09 18:04:10.808000+00:00 ,           16 ,6.869         ,0.35     ,       1237 ,       9531
2024-06-09 18:04:11.234000+00:00 ,           22 ,7.294         ,0.425    ,       1237 ,       9531
2024-06-09 18:04:11.352000+00:00 ,            1 ,1.118         ,1.118    ,       1237 ,       9531
2024-06-09 18:04:11.352000+00:00 ,           20 ,7.412         ,0.118    ,       1237 ,       9531
2024-06-09 18:04:11.529000+00:00 ,           24 ,13.809        ,1.819    ,       1237 ,       9531
2024-06-09 18:04:12.143000+00:00 ,           23 ,8.233         ,0.821    ,       1237 ,       9531
2024-06-09 18:04:12.353000+00:00 ,            4 ,2.029         ,0.911    ,       1237 ,       9531
2024-06-09 18:04:12.530000+00:00 ,           55 ,8.587         ,0.354    ,       1237 ,       9531
